"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C10","2","1u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C2,C3","2","15p","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C4,C5,C8,C9,C11","5","100n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C12","1","22u","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C13,C14","2","10u","","","","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A","~"
"C15","1","220n","","","","Capacitor_SMD:C_1206_3216Metric","~"
"D1,D2","2","LED","","","","LED_SMD:LED_1206_3216Metric","~"
"J1","1","Comms","","","","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~"
"J2","1","Conn_01x10_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~"
"J3","1","Conn_01x07_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~"
"J4","1","USB_C_Receptacle_USB2.0_14P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J5","1","Conn_01x02_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","~"
"R1,R8","2","10K","","","","Resistor_SMD:R_1206_3216Metric","~"
"R2,R3","2","4k7","","","","Resistor_SMD:R_1206_3216Metric","~"
"R4,R5","2","5k1","","","","Resistor_SMD:R_1206_3216Metric","~"
"R9,R10","2","1K","","","","Resistor_SMD:R_1206_3216Metric","~"
"U1","1","ESP32-S3-WROOM-1","","","","RF_Module:ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf"
"U2","1","LIS2MDL","","","","Package_LGA:LGA-12_2x2mm_P0.5mm","https://www.st.com/resource/en/datasheet/lis2mdl.pdf"
"U4","1","BME280","","","","BME280:PSON65P250X250X100-8N",""
"U5","1","LM1117MP-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.ti.com/lit/ds/symlink/lm1117.pdf"
"Y1","1","Crystal","","","","Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm","~"
